"Year","Accidents"
"6",24888.0
"6",249.0
"6",7435.0
"6",8222.0
"6",13580.0
"6",4304.0
"6",21859.0
"6",11234.0
"6",3168.0
"6",5501.0
"6",4932.0
"6",44403.0
"6",39420.0
"6",53972.0
"6",39878.0
"6",538.0
"6",620.0
"6",83.0
"6",75.0
"6",10532.0
"6",6952.0
"6",23066.0
"6",210.0
"6",71431.0
"6",22811.0
"6",557.0
"6",1591.0
"6",35612.0
"6",13580.0
"6",238.0
"6",428.0
"6",70.0
"6",71.0
"6",7375.0
"6",1.0
"6",1766.0
"7",25727.0
"7",241.0
"7",7170.0
"7",8855.0
"7",13563.0
"7",3917.0
"7",19081.0
"7",11258.0
"7",3114.0
"7",5624.0
"7",5198.0
"7",42542.0
"7",38470.0
"7",53399.0
"7",35853.0
"7",578.0
"7",675.0
"7",68.0
"7",531.0
"7",10855.0
"7",6273.0
"7",22112.0
"7",196.0
"7",65562.0
"7",22484.0
"7",503.0
"7",1603.0
"7",38783.0
"7",11631.0
"7",189.0
"7",342.0
"7",67.0
"7",79.0
"7",6673.0
"7",1.0
"7",1691.0
"8",24475.0
"8",277.0
"8",8248.0
"8",9600.0
"8",13864.0
"8",3709.0
"8",18769.0
"8",11238.0
"8",3110.0
"8",5978.0
"8",5394.0
"8",41707.0
"8",40181.0
"8",51397.0
"8",15717.0
"8",601.0
"8",399.0
"8",53.0
"8",430.0
"8",11262.0
"8",6428.0
"8",21743.0
"8",180.0
"8",63920.0
"8",22230.0
"8",552.0
"8",1468.0
"8",42568.0
"8",12705.0
"8",254.0
"8",316.0
"8",80.0
"8",76.0
"8",6515.0
"8",3.0
"8",1597.0

